"","close","volume","target"
"2016-07-13",716.97998,935900,"Down"
"2016-07-14",720.950012,950200,"Down"
"2016-07-15",719.849976,1279300,"Down"
"2016-07-18",733.780029,1295500,"Up"
"2016-07-19",736.960022,1227500,"Up"
"2016-07-20",741.190002,1289700,"Up"
"2016-07-21",738.630005,1026300,"Down"
"2016-07-22",742.73999,1259800,"Up"
"2016-07-25",739.77002,1032400,"Down"
"2016-07-26",738.419983,1186700,"Down"
"2016-07-27",741.77002,1512500,"Up"
"2016-07-28",745.909973,3530200,"Down"
"2016-07-29",768.789978,3841500,"Down"
"2016-08-01",772.880005,2700500,"Up"
"2016-08-02",771.070007,1784500,"Up"
"2016-08-03",773.179993,1287400,"Up"
"2016-08-04",771.609985,1140300,"Down"
"2016-08-05",782.219971,1801200,"Up"
"2016-08-08",781.76001,1107900,"Down"
"2016-08-09",784.26001,1318900,"Up"
"2016-08-10",784.679993,786400,"Up"
"2016-08-11",784.849976,975100,"Down"
"2016-08-12",783.219971,740500,"Up"
"2016-08-15",782.440002,938200,"Down"
"2016-08-16",777.140015,1028000,"Down"
"2016-08-17",779.909973,924200,"Up"
"2016-08-18",777.5,719400,"Down"
"2016-08-19",775.419983,861500,"Up"
"2016-08-22",772.150024,951400,"Down"
"2016-08-23",772.080017,928200,"Down"
"2016-08-24",769.640015,1072000,"Down"
"2016-08-25",769.409973,926900,"Up"
"2016-08-26",769.539978,1166700,"Up"
"2016-08-29",772.150024,847600,"Up"
"2016-08-30",769.090027,1130000,"Down"
"2016-08-31",767.049988,1248600,"Up"
"2016-09-01",768.780029,925100,"Down"
"2016-09-02",771.460022,1072700,"Down"
"2016-09-06",780.080017,1442800,"Up"
"2016-09-07",780.349976,893700,"Up"
"2016-09-08",775.320007,1270300,"Down"
"2016-09-09",759.659973,1885500,"Down"
"2016-09-12",769.02002,1311000,"Up"
"2016-09-13",759.690002,1395000,"Down"
"2016-09-14",762.48999,1087400,"Up"
"2016-09-15",771.76001,1305100,"Up"
"2016-09-16",768.880005,2049300,"Down"
"2016-09-19",765.700012,1172800,"Down"
