"","timestamp","ETH_Close","ETH_Volume","BTC_Close","BTC_Volume","breakeven_inflation","BTC_Energy","ETH_Energy"
"1","2021-07-12","2031.58"," 540630.11","33086.63"," 48181.404","2.48","135.11737","55.883353"
"2","2021-07-12","2031.58"," 540630.11","33086.63"," 48181.404","2.52","135.11737","55.883353"
"3","2021-07-12","2031.58"," 540630.11","33086.63"," 48181.404","2.60","135.11737","55.883353"
"4","2021-07-09","2146.99"," 738611.36","33815.81"," 47153.940","2.44","135.11737","55.444724"
"5","2021-07-08","2116.33"," 880265.04","32875.71"," 70136.480","2.38","135.11737","55.283935"
"6","2021-07-07","2316.57"," 666501.36","33862.12"," 53807.522","2.43","135.11737","55.006987"
"7","2021-07-06","2322.50"," 785330.17","34220.01"," 58210.596","2.48","135.11737","54.810534"
"8","2021-07-05","2196.53"," 781806.32","33690.14"," 64123.874","2.49","135.11737","54.628778"
"9","2021-07-02","2154.13"," 672282.37","33786.55"," 56172.181","2.49","134.06091","54.172612"
"10","2021-07-01","2106.41"," 787865.25","33504.69"," 71708.266","2.49","134.06091","53.922407"
"11","2021-06-30","2275.68"," 910583.60","35045.00"," 77152.198","2.47","134.06091","53.766064"
"12","2021-06-29","2165.33"," 831257.23","35911.73"," 90788.796","2.46","133.68890","53.607258"
"13","2021-06-28","2084.41","1044244.68","34494.89"," 82222.268","2.45","132.88769","53.451113"
"14","2021-06-25","1808.82"," 858808.55","31584.45","116061.130","2.46","132.25527","52.943926"
"15","2021-06-24","1989.52"," 701231.67","34663.09"," 86625.804","2.45","132.08374","52.812907"
"16","2021-06-23","1968.14"," 918612.30","33678.07","126966.101","2.49","131.80352","52.676004"
"17","2021-06-22","1879.28","1695338.08","32509.56","204208.180","2.46","131.15648","52.518235"
"18","2021-06-21","1885.49","1629819.67","31608.93","168778.873","2.41","131.11575","52.349572"
"19","2021-06-18","2234.09"," 778905.20","35819.84"," 95228.043","2.37","130.48181","51.785954"
"20","2021-06-17","2373.28"," 560667.59","38092.97"," 79541.307","2.31","130.16484","51.621750"
"21","2021-06-16","2367.89"," 624741.78","38349.01"," 87771.977","2.41","129.55977","51.447107"
"22","2021-06-15","2543.54"," 599826.65","40144.04"," 80679.623","2.46","129.21297","51.270694"
"23","2021-06-14","2580.77"," 684183.56","40516.29","108522.392","2.44","128.86016","51.080702"
"24","2021-06-11","2354.01"," 587364.27","37331.98"," 78466.005","2.43","127.87203","50.458845"
"25","2021-06-10","2471.09"," 741237.50","36675.72","109527.285","2.47","127.54675","50.281897"
"26","2021-06-09","2610.18","1276718.24","37388.05","136607.598","2.41","127.22202","50.096425"
"27","2021-06-08","2507.23","1693747.43","33380.81","123251.189","2.47","126.66219","49.902800"
"28","2021-06-07","2592.05","1152128.08","33552.79"," 77574.953","2.51","126.39401","49.611402"
"29","2021-06-04","2689.51","1188314.11","36829.00"," 91317.799","2.54","125.45236","49.019207"
"30","2021-06-03","2857.25","1024290.89","39246.79"," 75889.106","2.56","125.12070","48.806963"
"31","2021-06-02","2706.22"," 970070.54","37568.68"," 67587.372","2.59","124.77333","48.484174"
